"species","phenology","n_predictors","max_concurvity","worst_pair","flag","r2","deviance_expl"
"American Elm","DER.pos_doy",4,0.949,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.298,0.303
"American Linden","DER.pos_doy",4,0.944,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.354,0.372
"Common Hackberry","DER.pos_doy",4,0.95,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.393,0.397
"Eastern Cottonwood","DER.pos_doy",4,0.949,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.382,0.388
"Green Ash","DER.pos_doy",4,0.946,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.364,0.367
"Honey Locust","DER.pos_doy",4,0.948,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.316,0.32
"Northern Red Oak","DER.pos_doy",4,0.945,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.241,0.251
"Plains Cottonwood","DER.pos_doy",4,0.944,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.378,0.383
"Siberian Elm","DER.pos_doy",4,0.949,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.242,0.247
"Silver Maple","DER.pos_doy",4,0.949,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.286,0.288
"Tree of heaven","DER.pos_doy",4,0.945,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.435,0.446
"Western Catalpa","DER.pos_doy",4,0.946,"s(spring_temp) <-> s(irrigated_90m)","HIGH",0.466,0.484
"American Elm","Greenup_doy",4,0.93,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.425,0.429
"American Linden","Greenup_doy",4,0.929,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.534,0.546
"Common Hackberry","Greenup_doy",4,0.929,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.269,0.275
"Eastern Cottonwood","Greenup_doy",4,0.927,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.299,0.305
"Green Ash","Greenup_doy",4,0.927,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.372,0.375
"Honey Locust","Greenup_doy",4,0.926,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.288,0.292
"Northern Red Oak","Greenup_doy",4,0.923,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.3,0.316
"Plains Cottonwood","Greenup_doy",4,0.929,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.358,0.365
"Siberian Elm","Greenup_doy",4,0.925,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.338,0.342
"Silver Maple","Greenup_doy",4,0.926,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.345,0.346
"Tree of heaven","Greenup_doy",4,0.928,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.287,0.304
"Western Catalpa","Greenup_doy",4,0.919,"s(late_winter_prcp) <-> s(irrigated_90m)","HIGH",0.408,0.428
"American Elm","Maturity_doy",4,0.613,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.365,0.369
"American Linden","Maturity_doy",4,0.619,"s(irrigated_90m) <-> s(spring_prcp)","MODERATE",0.406,0.423
"Common Hackberry","Maturity_doy",4,0.614,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.582,0.585
"Eastern Cottonwood","Maturity_doy",4,0.615,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.431,0.436
"Green Ash","Maturity_doy",4,0.614,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.529,0.531
"Honey Locust","Maturity_doy",4,0.628,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.518,0.521
"Northern Red Oak","Maturity_doy",4,0.617,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.435,0.445
"Plains Cottonwood","Maturity_doy",4,0.61,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.334,0.341
"Siberian Elm","Maturity_doy",4,0.645,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.309,0.313
"Silver Maple","Maturity_doy",4,0.625,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.37,0.371
"Tree of heaven","Maturity_doy",4,0.615,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.652,0.657
"Western Catalpa","Maturity_doy",4,0.645,"s(spring_prcp) <-> s(irrigated_90m)","MODERATE",0.608,0.621
"American Elm","Senescence_doy",4,0.881,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.395,0.4
"American Linden","Senescence_doy",4,0.891,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.344,0.36
"Common Hackberry","Senescence_doy",4,0.876,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.381,0.387
"Eastern Cottonwood","Senescence_doy",4,0.883,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.489,0.493
"Green Ash","Senescence_doy",4,0.884,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.355,0.358
"Honey Locust","Senescence_doy",4,0.878,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.383,0.386
"Northern Red Oak","Senescence_doy",4,0.888,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.428,0.442
"Plains Cottonwood","Senescence_doy",4,0.886,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.53,0.534
"Siberian Elm","Senescence_doy",4,0.879,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.524,0.527
