"species","phenology","n_obs","n_trees","gamm_cv_r2","gamm_cv_rmse"
"American Elm","DER.pos_doy",1748,313,0.19080009814308,14.4417322174734
"American Linden","DER.pos_doy",452,83,0.163346519301688,15.0178167669459
"Common Hackberry","DER.pos_doy",1342,237,0.237380818174807,13.8907791314012
"Eastern Cottonwood","DER.pos_doy",1413,248,0.301591912676675,13.0554760606016
"Green Ash","DER.pos_doy",2768,495,0.249396162611872,16.1086081178223
"Honey Locust","DER.pos_doy",1947,343,0.229604185615187,14.8110008492829
"Northern Red Oak","DER.pos_doy",485,86,0.100321117072301,16.4322845850969
"Plains Cottonwood","DER.pos_doy",1259,230,0.23692823059669,14.2773482154653
"Siberian Elm","DER.pos_doy",1853,328,0.197653718050386,16.3615724334216
"Silver Maple","DER.pos_doy",5359,952,0.200513004640873,13.8937683854625
"Tree of heaven","DER.pos_doy",524,92,0.325837478175873,16.9018780470155
"Western Catalpa","DER.pos_doy",336,60,0.364765981284005,13.0281087542657
"American Elm","Greenup_doy",1748,313,0.162139049635828,13.29299369826
"American Linden","Greenup_doy",452,83,0.0861335523306082,15.3011642180144
"Common Hackberry","Greenup_doy",1342,237,0.080984247891421,12.3913879515628
"Eastern Cottonwood","Greenup_doy",1413,248,0.0888297340644061,11.48966882653
"Green Ash","Greenup_doy",2768,495,0.0739958648290608,13.9474863336304
"Honey Locust","Greenup_doy",1947,343,0.102896444961694,13.5635339984868
"Northern Red Oak","Greenup_doy",485,86,0.0504575333089511,13.218410603958
"Plains Cottonwood","Greenup_doy",1259,230,0.115129113221113,12.9165852286523
"Siberian Elm","Greenup_doy",1853,328,0.230421859439287,11.4674451168653
"Silver Maple","Greenup_doy",5359,952,0.156760072700382,11.1538305844474
"Tree of heaven","Greenup_doy",524,92,0.0743027311227161,14.656039036165
"Western Catalpa","Greenup_doy",336,60,0.108835825544422,14.624694328376
"American Elm","Maturity_doy",1748,313,0.167350232955268,9.16713698647132
"American Linden","Maturity_doy",452,83,0.211363114024367,9.94560145809067
"Common Hackberry","Maturity_doy",1342,237,0.357884224156364,8.76814025372691
"Eastern Cottonwood","Maturity_doy",1413,248,0.277745259749379,7.50817795680357
"Green Ash","Maturity_doy",2768,495,0.237606075306151,9.60681180620317
"Honey Locust","Maturity_doy",1947,343,0.301930019108591,10.3854016963692
"Northern Red Oak","Maturity_doy",485,86,0.242337780769358,9.16096929766091
"Plains Cottonwood","Maturity_doy",1259,230,0.173275922393374,8.44157224943931
"Siberian Elm","Maturity_doy",1853,328,0.267843005195818,10.0689696689031
"Silver Maple","Maturity_doy",5359,952,0.134568921132875,8.66115538473239
"Tree of heaven","Maturity_doy",524,92,0.434546523720981,8.47006432002149
"Western Catalpa","Maturity_doy",336,60,0.540847354209717,9.48558084863436
"American Elm","Senescence_doy",1748,313,0.279855117392061,11.9730230999341
"American Linden","Senescence_doy",452,83,0.286057898638726,11.9287774471051
"Common Hackberry","Senescence_doy",1342,237,0.308603798398564,15.2020901446705
"Eastern Cottonwood","Senescence_doy",1413,248,0.434969048293773,13.3533292117438
"Green Ash","Senescence_doy",2768,495,0.311904086013899,12.3191136189081
"Honey Locust","Senescence_doy",1947,343,0.37001010210268,12.1261961043753
"Northern Red Oak","Senescence_doy",485,86,0.34778068681543,11.7120962068176
"Plains Cottonwood","Senescence_doy",1259,230,0.366330194510965,15.5819327964869
"Siberian Elm","Senescence_doy",1853,328,0.493756530517432,13.5375886528023
"Silver Maple","Senescence_doy",5359,952,0.404504418745602,12.6962640001704
"Tree of heaven","Senescence_doy",524,92,0.469407927759966,12.5286148222608
"Western Catalpa","Senescence_doy",336,60,0.500225930907343,11.6573342460251
"American Elm","Dormancy_doy",1748,313,0.319220964806897,15.9197423649552
"American Linden","Dormancy_doy",452,83,0.255501635867386,16.5176887544273
"Common Hackberry","Dormancy_doy",1342,237,0.277472555964403,14.530392900209
"Eastern Cottonwood","Dormancy_doy",1413,248,0.123842450673386,14.7149863296417
"Green Ash","Dormancy_doy",2768,495,0.262908248511928,18.2046663560637
"Honey Locust","Dormancy_doy",1947,343,0.255001730140245,14.749864329323
"Northern Red Oak","Dormancy_doy",485,86,0.212463979685104,14.4828132037547
"Plains Cottonwood","Dormancy_doy",1259,230,0.0639907714767077,17.3083863908745
"Siberian Elm","Dormancy_doy",1853,328,0.431407555804532,13.073366989672
"Silver Maple","Dormancy_doy",5359,952,0.256576033032455,14.1926907649572
"Tree of heaven","Dormancy_doy",524,92,0.279147127790621,14.6301697067775
"Western Catalpa","Dormancy_doy",336,60,0.297438987352704,14.7708480007441
"American Elm","growing_season",1748,313,0.4057848440836,22.0011696035069
"American Linden","growing_season",452,83,0.49096342075399,21.7524846901128
"Common Hackberry","growing_season",1342,237,0.222493620412575,21.8418168968816
"Eastern Cottonwood","growing_season",1413,248,0.255358788825249,19.7706935870309
"Green Ash","growing_season",2768,495,0.357037213927785,24.7748911680003
"Honey Locust","growing_season",1947,343,0.287504718336559,21.6539932472907
"Northern Red Oak","growing_season",485,86,0.275853168756558,21.4703013476646
"Plains Cottonwood","growing_season",1259,230,0.305586116099695,22.5634992995344
"Siberian Elm","growing_season",1853,328,0.325625227908379,19.5305212583386
"Silver Maple","growing_season",5359,952,0.241523299635955,19.5670620310888
"Tree of heaven","growing_season",524,92,0.247096237544232,23.631000505244
"Western Catalpa","growing_season",336,60,0.433302832851083,20.7618233558633
