"species","phenology","mixed_cv_r2","mixed_cv_rmse","n_obs","n_trees","gamm_cv_r2","gamm_cv_rmse","gamm_improvement","rmse_improvement","gamm_wins"
"American Elm","DER.pos_doy",0.297416239486493,13.6206113383288,2032,313,0.293042152078102,13.6627550665398,-0.0043740874083909,-0.042143728210986,FALSE
"American Linden","DER.pos_doy",0.337140031004503,13.628296569397,532,83,0.297017790879478,14.0354224773857,-0.0401222401250251,-0.407125907988714,FALSE
"Common Hackberry","DER.pos_doy",0.38821021058017,12.9044072447202,1566,237,0.384458417920444,12.9439928769543,-0.00375179265972514,-0.0395856322341377,FALSE
"Eastern Cottonwood","DER.pos_doy",0.265545454632449,13.4648820959359,1647,248,0.365642089579694,12.5138773864189,0.100096634947245,0.951004709516994,TRUE
"Green Ash","DER.pos_doy",0.372688467012598,15.1059872978413,3239,495,0.359472561283603,15.2643060183438,-0.0132159057289949,-0.158318720502493,FALSE
"Honey Locust","DER.pos_doy",0.441699549806923,12.7599796041296,2214,343,0.299339455954489,14.2945288926505,-0.142360093852434,-1.53454928852087,FALSE
"Northern Red Oak","DER.pos_doy",0.3198637533609,14.4754965005232,558,86,0.22677030430088,15.434979735483,-0.0930934490600199,-0.959483234959837,FALSE
"Plains Cottonwood","DER.pos_doy",0.338279984164012,13.3732427987592,1475,230,0.282193152346736,13.928386306356,-0.0560868318172763,-0.555143507596755,FALSE
"Siberian Elm","DER.pos_doy",0.333832660127115,15.1450812445456,2073,328,0.223505279017807,16.3514439296377,-0.110327381109308,-1.20636268509212,FALSE
"Silver Maple","DER.pos_doy",0.373401379708989,12.7270314050127,6142,952,0.273551005834976,13.7034986253253,-0.0998503738740133,-0.976467220312541,FALSE
"Tree of heaven","DER.pos_doy",0.466691389466272,15.4139178957436,611,92,0.396137802457059,16.4066703448125,-0.0705535870092128,-0.992752449068892,FALSE
"Western Catalpa","DER.pos_doy",0.440659789966801,12.4821027946114,377,60,0.412550667167576,12.7919054395447,-0.0281091227992248,-0.30980264493336,FALSE
"American Elm","Greenup_doy",0.403562774492885,11.0829407119716,2032,313,0.407595643172283,11.045259458715,0.0040328686793985,0.0376812532566522,TRUE
"American Linden","Greenup_doy",0.511673317674827,11.0663169971363,532,83,0.461439537626459,11.6215916517498,-0.0502337800483673,-0.555274654613466,FALSE
"Common Hackberry","Greenup_doy",0.387927508461476,10.0953449911645,1566,237,0.248996714299271,11.1839563880972,-0.138930794162205,-1.08861139693264,FALSE
"Eastern Cottonwood","Greenup_doy",0.298033598070502,10.006124079272,1647,248,0.260573954455987,10.2696249782545,-0.0374596436145153,-0.263500898982482,FALSE
"Green Ash","Greenup_doy",0.412666292821144,10.950327393581,3239,495,0.342626264103681,11.584913042772,-0.0700400287174622,-0.634585649190937,FALSE
"Honey Locust","Greenup_doy",0.420351929285362,10.9819066578586,2214,343,0.265775533043651,12.3595861738889,-0.154576396241711,-1.3776795160303,FALSE
"Northern Red Oak","Greenup_doy",0.386107176086732,10.5781651188621,558,86,0.251988047307723,11.6776906778952,-0.13411912877901,-1.09952555903309,FALSE
"Plains Cottonwood","Greenup_doy",0.487425054509142,9.95741032533244,1475,230,0.165762376328859,12.703392066566,-0.321662678180284,-2.74598174123353,FALSE
"Siberian Elm","Greenup_doy",0.269899040091989,11.171549696647,2073,328,0.314384140250247,10.8258765884421,0.0444851001582585,0.345673108204902,TRUE
"Silver Maple","Greenup_doy",0.191675583478041,10.6698009039896,6142,952,0.325114040776956,9.74928702898554,0.133438457298915,0.920513875004028,TRUE
"Tree of heaven","Greenup_doy",0.538982418188047,10.1599086093774,611,92,0.225994937243679,13.1645802843861,-0.312987480944368,-3.00467167500867,FALSE
"Western Catalpa","Greenup_doy",0.34723619104997,12.6569112291396,377,60,0.357844935007955,12.555024208062,0.0106087439579843,0.101887021077616,TRUE
"American Elm","Maturity_doy",0.212767571811322,9.29737967069159,2032,313,0.358356287111266,8.39353083292379,0.145588715299944,0.903848837767795,TRUE
"American Linden","Maturity_doy",0.224142329185189,10.3078380950155,532,83,0.338707723733867,9.51640935430986,0.114565394548678,0.791428740705614,TRUE
"Common Hackberry","Maturity_doy",0.270398115719096,10.5058349511199,1566,237,0.575925522707512,8.00956014182736,0.305527406988416,2.49627480929254,TRUE
"Eastern Cottonwood","Maturity_doy",0.101096377193328,8.93242829609854,1647,248,0.42209590297649,7.16218387380218,0.320999525783161,1.77024442229637,TRUE
"Green Ash","Maturity_doy",0.209578462618539,10.7067352779307,3239,495,0.525086302269172,8.2991169007259,0.315507839650634,2.40761837720481,TRUE
"Honey Locust","Maturity_doy",0.290824676089121,10.992416172112,2214,343,0.503029847394122,9.20196763909063,0.212205171305001,1.79044853302136,TRUE
"Northern Red Oak","Maturity_doy",0.220045404566069,9.74392107664245,558,86,0.41876971786046,8.4084698849576,0.198724313294391,1.33545119168484,TRUE
"Plains Cottonwood","Maturity_doy",0.107274866018198,9.3741618606085,1475,230,0.314416703427915,8.21483723465962,0.207141837409716,1.15932462594888,TRUE
