species,phenology,tree_mean_pheno,late_winter_prcp,impervious_90m,late_winter_temp,late_winter_prcp_days,irrigated_90m,UID_numeric,tree_canopy_90m,late_winter_mean_tmax,tree_n_obs,unirrigated_90m,water_90m,early_fall_mean_tmax,late_summer_mean_tmax,late_summer_prcp,early_fall_temp,late_summer_temp,late_summer_prcp_days,fall_prcp_days,fall_mean_tmax,fall_cumulative_prcp,late_fall_temp,late_spring_prcp_days,late_spring_temp,spring_prcp,late_spring_mean_tmax
American Elm,Greenup_doy,0.604,0.162,0.068,0.043,0.038,0.036,0.017,0.015,0.009,0.003,0.002,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Linden,Greenup_doy,0.564,0.068,0.071,0.086,0.029,0.109,0.026,0.024,0.011,0.007,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Hackberry,Greenup_doy,0.6,0.08,0.07,0.088,0.029,0.043,0.023,0.026,0.023,0.005,0.01,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Cottonwood,Greenup_doy,0.616,0.096,0.032,0.094,0.019,0.071,0.013,0.029,0.014,0.003,0.009,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Ash,Greenup_doy,0.679,0.073,0.069,0.087,0.018,0.037,0.006,0.011,0.013,0.002,0.002,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Locust,Greenup_doy,0.671,0.112,0.048,0.064,0.029,0.025,0.012,0.014,0.011,0.006,0.006,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Red Oak,Greenup_doy,0.56,0.079,0.089,0.085,0.028,0.047,0.032,0.046,0.016,0.01,0.002,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plains Cottonwood,Greenup_doy,0.654,0.081,0.018,0.093,0.017,0.08,0.009,0.009,0.012,0.004,0.019,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siberian Elm,Greenup_doy,0.519,0.244,0.023,0.092,0.042,0.016,0.014,0.023,0.018,0.003,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silver Maple,Greenup_doy,0.524,0.283,0.011,0.113,0.021,0.016,0.006,0.007,0.015,0.002,0.001,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tree of heaven,Greenup_doy,0.714,0.054,0.038,0.057,0.018,0.037,0.022,0.022,0.03,0.003,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Catalpa,Greenup_doy,0.509,0.068,0.09,0.1,0.047,0.07,0.052,0.033,0.02,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Elm,Senescence_doy,0.504,NA,0.059,NA,NA,0.03,0.009,0.046,NA,0.004,0.002,0.003,0.083,0.077,0.066,0.064,0.031,0.022,NA,NA,NA,NA,NA,NA,NA,NA
American Linden,Senescence_doy,0.525,NA,0.053,NA,NA,0.03,0.022,0.035,NA,0.008,0.003,0.001,0.012,0.096,0.086,0.065,0.037,0.027,NA,NA,NA,NA,NA,NA,NA,NA
Common Hackberry,Senescence_doy,0.488,NA,0.038,NA,NA,0.021,0.022,0.033,NA,0.005,0.004,0.002,0.081,0.026,0.153,0.038,0.017,0.072,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Cottonwood,Senescence_doy,0.421,NA,0.027,NA,NA,0.026,0.006,0.021,NA,0.004,0.032,0.003,0.014,0.022,0.201,0.073,0.043,0.109,NA,NA,NA,NA,NA,NA,NA,NA
Green Ash,Senescence_doy,0.478,NA,0.059,NA,NA,0.024,0.008,0.017,NA,0.002,0.002,0.002,0.156,0.007,0.107,0.063,0.006,0.071,NA,NA,NA,NA,NA,NA,NA,NA
Honey Locust,Senescence_doy,0.489,NA,0.025,NA,NA,0.016,0.011,0.025,NA,0.002,0.002,0.001,0.093,0.044,0.156,0.069,0.011,0.053,NA,NA,NA,NA,NA,NA,NA,NA
Northern Red Oak,Senescence_doy,0.451,NA,0.052,NA,NA,0.03,0.04,0.033,NA,0.007,0.001,0.014,0.015,0.084,0.072,0.112,0.038,0.051,NA,NA,NA,NA,NA,NA,NA,NA
Plains Cottonwood,Senescence_doy,0.42,NA,0.015,NA,NA,0.039,0.005,0.011,NA,0.001,0.019,0.015,0.066,0.015,0.139,0.047,0.059,0.149,NA,NA,NA,NA,NA,NA,NA,NA
