species_sci;dc_tree
Acer buergeranum;TRUE
Acer buergerianum;TRUE
Acer campestre;TRUE
Acer ginnala;TRUE
Acer griseum;TRUE
Acer negundo;TRUE
Acer palmatum;TRUE
Acer platanoides;TRUE
Acer pseudoplatanus;TRUE
Acer rubrum;TRUE
Acer saccharinum;TRUE
Acer saccharum;TRUE
Acer species;TRUE
Acer truncatum;TRUE
Acer x freemanii;TRUE
Aesculus carnea;TRUE
Aesculus flava;TRUE
Aesculus hippocastanum;TRUE
Aesculus pavia;TRUE
Aesculus x carnea;TRUE
Ailanthus altissima;TRUE
Albizia julibrissin;TRUE
Alibizia julibrissin;TRUE
Alnus glutinosa;TRUE
Amelanchier arborea;TRUE
Amelanchier canadensis;TRUE
Amelanchier laevis;TRUE
Amelanchier species;TRUE
Amelanchier x grandiflora;TRUE
Aralia spinosa;TRUE
Asimina triloba;TRUE
Betula nigra;TRUE
Betula species;TRUE
Carpinus betulus;TRUE
Carpinus caroliniana;TRUE
Carpinus species;TRUE
Carya illinoinensis;TRUE
Carya species;TRUE
Castanea mollissima;TRUE
Castanea pumila;TRUE
Catalpa bignonioides;TRUE
Cedrus atlantica;TRUE
Cedrus deodora;TRUE
Celtis laevigata;TRUE
Celtis occidentalis;TRUE
Cercidiphyllum japonicum;TRUE
Cercis canadensis;TRUE
Cercis chinensis;TRUE
Cercis reniformis;TRUE
Cercis species;TRUE
Chionanthus retusus;TRUE
Chionanthus virginicus;TRUE
Cladrastis kentukea;TRUE
Cladrastis lutea;TRUE
Cornus alternifolia;TRUE
Cornus florida;TRUE
Cornus kousa;TRUE
Cornus mas;TRUE
Cornus species;TRUE
Cornus x;TRUE
Corylus colurna;TRUE
Cotinus obovatus;TRUE
Crataegus lavallei;TRUE
Crataegus oxyacantha;TRUE
Crataegus phaenopyrum;TRUE
Crataegus viridis;TRUE
Cryptomeria japonica;TRUE
Diospyros Virginia;TRUE
Diospyros virginiana;TRUE
Eucommia ulmoides;TRUE
Fagus grandiflora;TRUE
Fagus grandifolia;TRUE
Fagus sylvatica;TRUE
Fraxinus pennsylvanica;TRUE
Fraxinus species;TRUE
Ginkgo biloba;TRUE
Gleditsia species;TRUE
Gleditsia triacanthos;TRUE
Gymnocladus dioicus;TRUE
Halesia carolina;TRUE
Halesia tetraptera;TRUE
Hamamelis virginiana;TRUE
Ilex decidua;TRUE
Ilex opaca;TRUE
Juglans nigra;TRUE
Juglans regia;TRUE
Juniperus scopulorum;TRUE
Juniperus virginiana;TRUE
Koelreuteria bipinnata;TRUE
Koelreuteria paniculata;TRUE
Laburnum species;TRUE
Lagerstroemia indica;TRUE
Liquidambar Stryaciflua;TRUE
Liquidambar rotundiloba;TRUE
Liquidambar styraciflua;TRUE
Liriodendron tulipifera;TRUE
Longleaf pine;TRUE
Maackia amurensis;TRUE
Maclura pomifera;TRUE
Magnolia Liliflora;TRUE
Magnolia Species;TRUE
Magnolia acuminata;TRUE
Magnolia grandiflora;TRUE
Magnolia liliflora;TRUE
Magnolia stellata;TRUE
Magnolia virginiana;TRUE
Magnolia x;TRUE
Magnolia x soulangeana;TRUE
Malus species;TRUE
Metasequoia glyptostroboides;TRUE
Morus alba;TRUE
Morus rubra;TRUE
No Tree;TRUE
Nyssa sylvatica;TRUE
Ostrya virginiana;TRUE
Oxydendrum arboreum;TRUE
Parrotia persica;TRUE
Paulownia tomentosa;TRUE
Persimmon Diospyros;TRUE
Phellodendron amurense;TRUE
Picea abies;TRUE
Pinus palustris;TRUE
Pinus rigida;TRUE
Pinus strobus;TRUE
Pinus taeda;TRUE
Pinus virginiana;TRUE
Pistacia chinensis;TRUE
Platanus occidentalis;TRUE
Platanus species;TRUE
Platanus x acerifolia;TRUE
Populus caroliniana;TRUE
Populus deltoides;TRUE
Populus species;TRUE
Prunus Okame;TRUE
Prunus cerasifera;TRUE
Prunus mume;TRUE
Prunus serotina;TRUE
Prunus serrulata;TRUE
Prunus species;TRUE
Prunus subhirtella;TRUE
Prunus virginiana;TRUE
Prunus x yedoensis;TRUE
Prunus x yodoensis;TRUE
Prunus yedoensis;TRUE
Pyrus calleryana;TRUE
Quercus acutissima;TRUE
Quercus alba;TRUE
Quercus bicolor;TRUE
Quercus coccinea;TRUE
Quercus falcata;TRUE
Quercus ilicifolia;TRUE
Quercus imbricaria;TRUE
Quercus laevis;TRUE
Quercus lyrata;TRUE
Quercus macrocarpa;TRUE
Quercus marilandica;TRUE
Quercus michauxii;TRUE
Quercus montana;TRUE
Quercus muehlenbergii;TRUE
Quercus nigra;TRUE
Quercus nuttallii;TRUE
Quercus pagoda;TRUE
Quercus palustris;TRUE
Quercus phellos;TRUE
Quercus prinus;TRUE
Quercus robur;TRUE
Quercus rubra;TRUE
Quercus shumardi;TRUE
Quercus shumardii;TRUE
Quercus species;TRUE
Quercus stellata;TRUE
Quercus velutina;TRUE
Quercus virginiana;TRUE
Quercus x warei;TRUE
Rhus typhina;TRUE
Robinia pseudoacacia;TRUE
Salix babylonica;TRUE
Salix species;TRUE
Sassafras albidum;TRUE
Stewartia pseudocamellia;TRUE
Styphnolobium japonicum;TRUE
Styrax japonicas;TRUE
Styrax japonicus;TRUE
Syringa reticulata;TRUE
Taxodium ascendens;TRUE
Taxodium distichum;TRUE
Taxus baccata;TRUE
Thuja occidentalis;TRUE
Tilia americana;TRUE
Tilia cordata;TRUE
Tilia euchlora;TRUE
Tilia species;TRUE
Tilia tomentosa;TRUE
Toona sinensis;TRUE
Tsuga canadensis;TRUE
Ulmus americana;TRUE
Ulmus carpinifolia;TRUE
Ulmus glabra;TRUE
Ulmus hollandica;TRUE
Ulmus parvifolia;TRUE
Ulmus pioneer;TRUE
Ulmus pumila;TRUE
Ulmus species;TRUE
Ulmus x;TRUE
Viburnum prunifolium;TRUE
Zelkova serrata;TRUE
NA;TRUE
