"UID","class_1","class_2","class_5","class_6","class_7","class_4","class_3","class_9","class_8"
1,0.0322003638335144,0.242860700734269,0.258478734555969,0.466460200876248,0,0,0,0,0
2,0.148700131786853,0.283241532498949,0.199197980644654,0.352118405194987,0.016741949874557,0,0,0,0
3,0.168364009931673,0.382538085745809,0.2537802832027,0.146971089919338,0.0483465312004799,0,0,0,0
4,0.19015957791155,0.304458410751375,0.143781047210249,0.361600964126825,0,0,0,0,0
5,0.138096381694998,0.292596597404099,0.165218049892941,0.383171376294282,0.0209175947136805,0,0,0,0
6,0.0662830265899346,0.2449436338862,0.180563394545022,0.508209944978843,0,0,0,0,0
7,0.0528312403911412,0.535918594875083,0.150653468374594,0.260596696359181,0,0,0,0,0
8,0.18170615520655,0.297179348802026,0.145062335426255,0.323821005078045,0.0522311554871246,0,0,0,0
9,0.0451173915914032,0.234649591583301,0.189827938024907,0.530405078800389,0,0,0,0,0
10,0.311098468535144,0.270061192480026,0.0394504368582262,0.258315299209704,0.0678960065604869,0.0531785963564134,0,0,0
11,0.190521769848343,0.362393810726592,0.260959046817975,0.153668266753067,0.0324571058540232,0,0,0,0
12,0.28374682132743,0.183953591156846,0.14538223930535,0.386917348210374,0,0,0,0,0
13,0.134550695738917,0.267023584726147,0.151492542474404,0.446933177060532,0,0,0,0,0
14,0.178454077552467,0.297516348104706,0.141022969818134,0.32890923119949,0.0540973733252027,0,0,0,0
15,0.0356860718434341,0.213685635743488,0.254958481067841,0.495669811345236,0,0,0,0,0
16,0.0968531032420417,0.375241663377389,0.151869913352344,0.37315124273046,0.00288407729776614,0,0,0,0
17,0.167662202306019,0.379651564106378,0.255203917598042,0.148781910493081,0.0487004054964802,0,0,0,0
18,0.242237806750995,0.381809566063623,0.184713906328278,0.190794752541284,0.000443968315820088,0,0,0,0
19,0.187714700059876,0.291630982059388,0.243411973877765,0.23406341831867,0.0431789256843009,0,0,0,0
20,0.0903130860527973,0.480078531044516,0.159619139124421,0.269989243778265,0,0,0,0,0
21,0.182322103310795,0.412801887007274,0.244123085011364,0.125122355934987,0.0356305687355805,0,0,0,0
22,0.135883138104694,0.22213378965277,0.138387324671555,0.50359574757098,0,0,0,0,0
23,0.210802550156346,0.326909485785089,0.218200784593225,0.212672946322931,0.0314142331424089,0,0,0,0
24,0.0630719464757051,0.214264078831624,0.248260645632643,0.471518164753889,0.00288516430613919,0,0,0,0
25,0.175213400350521,0.375048100177902,0.25170961802058,0.14909192629955,0.048936955151447,0,0,0,0
26,0.209491621444392,0.319157268765258,0.204443359616542,0.244276726282372,0.0226310238914361,0,0,0,0
27,0.18017823984524,0.250036805695461,0.127155917911924,0.440477750120332,0.00215128642704279,0,0,0,0
28,0.231253054232418,0.341725933261604,0.255088302120532,0.127511858012128,0.044420852373319,0,0,0,0
29,0.139038128441004,0.240685168369909,0.142963262705674,0.477313440483413,0,0,0,0,0
30,0.0285835677429315,0.253930496761479,0.237763182391387,0.479722753104202,0,0,0,0,0
31,0.188604066975791,0.331213970051646,0.246159773687957,0.204430657223539,0.0295915320610678,0,0,0,0
32,0.0482620643139359,0.539996529892912,0.151373095114398,0.260368310678754,0,0,0,0,0
33,0.238795919216511,0.304606489430503,0.324229376614482,0.113744406293352,0.0186238084451528,0,0,0,0
34,0.130130944635439,0.253858170608966,0.149640810779209,0.466370073976385,0,0,0,0,0
35,0.188417192801268,0.344319609365476,0.121680022477528,0.294705842703164,0.0508773326525643,0,0,0,0
36,0.0358048220909033,0.242229562278065,0.257755085058206,0.464210530572826,0,0,0,0,0
37,0.0377376356998288,0.21493166699672,0.265097007986888,0.482233689316563,0,0,0,0,0
38,0.184028607008096,0.350320799939116,0.248124764367456,0.19969909498162,0.0178267337037123,0,0,0,0
39,0.191210647856619,0.351051800383463,0.186191540709265,0.251372869258947,0.0201731417917057,0,0,0,0
40,0.215389716585459,0.341792589323693,0.257767551066002,0.169998424626935,0.0150517183979108,0,0,0,0
41,0.206130759736976,0.304059420296666,0.268061916452172,0.17053151889356,0.0512163846206265,0,0,0,0
42,0.261070667281921,0.154126152283159,0.075156156099493,0.320903068410472,0.0134580128154469,0.175285943109509,0,0,0
43,0.193797254519386,0.337286234782915,0.217421694528252,0.209668726781008,0.0418260893884389,0,0,0,0
44,0.0234259891643952,0.222263956761562,0.22574673715687,0.528563316917172,0,0,0,0,0
45,0.470746014146102,0.168804085168037,0.05740445321299,0.173247152000091,0.0228053191064875,0.106992976366293,0,0,0
46,0.182868125160407,0.339236428308318,0.193485246796746,0.258445255584104,0.0259649441504251,0,0,0,0
47,0.246660678225349,0.387788264340404,0.138933057925222,0.21500500435506,0.0116129951539657,0,0,0,0
48,0.12449473932938,0.410320574955303,0.211185617949093,0.243109698030878,0.010889369735346,0,0,0,0
49,0.195893137890539,0.539275944559729,0.111831959217808,0.13479012228829,0.0182088360436328,0,0,0,0
50,0.147055095038028,0.258366977580597,0.245360951918091,0.332343212737169,0.0168737627261149,0,0,0,0
51,0.168181958178103,0.266731688750972,0.278596616494068,0.270513086607136,0.0159766499697205,0,0,0,0
52,0.175788110163342,0.247120503732765,0.402758571430266,0.169299836343533,0.00503297833009344,0,0,0,0
53,0.334495636154735,0.465814693944335,0.0833184189106441,0.0643706830585106,0.0509405725905288,0.00105999534124643,0,0,0
54,0.163226560072624,0.30731976263609,0.192298804709417,0.320474880539488,0.0166799920423811,0,0,0,0
55,0.180601695081535,0.394108547076659,0.201821063740818,0.19337773772135,0.0300909563796381,0,0,0,0
56,0.189015591911169,0.496315352910638,0.0960135860052262,0.20159279764426,0.0170626715287069,0,0,0,0
57,0.158979525514945,0.254784729181066,0.286204759047094,0.271489987489953,0.0285409987669417,0,0,0,0
58,0.0896068588534252,0.219023942807116,0.306174850385851,0.200444269867971,0.00837081032431188,0.176379267761325,0,0,0
59,0.236484788387519,0.270648841558438,0.284232088864199,0.188835129215508,0.0197991519743374,0,0,0,0
60,0.208769279139176,0.202403161268695,0.359817894680398,0.206940145951763,0.0220695189599681,0,0,0,0
61,0.145074886090187,0.394792390344359,0.166170566536347,0.277684869393457,0.0162772876356508,0,0,0,0
62,0.365911139073297,0.421207292000058,0.135760158986564,0.07309571285394,0.0040256970861405,0,0,0,0
63,0.194538236758389,0.169849015324018,0.458732016901208,0.166264966402652,0.0106157646137325,0,0,0,0
64,0.197794621756118,0.313641817725414,0.241439472338286,0.229690117373857,0.0174339708063247,0,0,0,0
65,0.221451255814343,0.323889627351873,0.206902428588887,0.222771103962774,0.0249855842821234,0,0,0,0
66,0.207616944252847,0.219718927735428,0.346735776620908,0.223810223207736,0.00211812818308098,0,0,0,0
67,0.0817081752843283,0.26071505939337,0.378621870639241,0.275589218974457,0.00118958803590976,0.00217608767269411,0,0,0
68,0.116805357737395,0.236073119305384,0.445165809711948,0.193785420008605,0.00817029323666757,0,0,0,0
69,0.167490527859743,0.290318644555679,0.23077868705018,0.289662834256554,0.0217493062778447,0,0,0,0
70,0.187068464165107,0.327158722561856,0.270342288831633,0.201650296243648,0.0137802281977561,0,0,0,0
71,0.194330454947228,0.17108717503716,0.432104725556304,0.202477644459308,0,0,0,0,0
72,0.163052214352685,0.197608052424729,0.482303160206638,0.146072271153906,0.0109643018620419,0,0,0,0
73,0.0792876335728148,0.184638971013163,0.522160862795772,0.204175454641547,0.00973707797670333,0,0,0,0
74,0.189969467505147,0.294166147213255,0.297265781518881,0.208848737805415,0.00974986595730191,0,0,0,0
75,0.192243197548157,0.312756824031544,0.307575733021172,0.157664984801423,0.0297592605977033,0,0,0,0
76,0.205705487130837,0.22206678137733,0.41700509778081,0.147322205207224,0.00790042850379858,0,0,0,0
77,0.250734016561571,0.251267824639549,0.380326492494907,0.111714474329844,0.00595719197412883,0,0,0,0
78,0.171611917421818,0.176457740159387,0.471835464628385,0.173095723948849,0.00699915384156118,0,0,0,0
79,0.138951878594488,0.397864426122547,0.188814093571574,0.212912981360952,0.0614566203504385,0,0,0,0
80,0.160542167064528,0.251344856087137,0.198577790862919,0.362833897606283,0.0267012883791329,0,0,0,0
81,0.047396893845026,0.150970329920783,0.446317865207398,0.355314911026794,0,0,0,0,0
82,0.219465323066724,0.336161331449046,0.181284895077023,0.232685502936887,0.0304029474703195,0,0,0,0
83,0.151753022803327,0.343438339789711,0.215886932623693,0.273281469187143,0.0156402355961254,0,0,0,0
84,0.343206174066759,0.387726557932084,0.187495303427336,0.0586891990336971,0.0228827655401235,0,0,0,0
85,0.0431500389594403,0.316171417309828,0.366476825068782,0.268869075402805,0.00533264325914565,0,0,0,0
86,0.150982585896086,0.306577778905157,0.226590875428065,0.284762403062425,0.0310863567082677,0,0,0,0
87,0.105932938599878,0.119232961332426,0.49350366723995,0.281330432827746,0,0,0,0,0
88,0.202004446479172,0.262282132838424,0.313142644707928,0.206003295076745,0.0165674808977307,0,0,0,0
89,0.150569911956719,0.205504653165121,0.370475883223014,0.273445165117629,4.38653751693129e-06,0,0,0,0
90,0.211526484285275,0.237901573487397,0.338483426852995,0.20985934390558,0.00222917146875394,0,0,0,0
91,0.191085863972353,0.283426329711253,0.228983338918022,0.286350878794329,0.0101535886040438,0,0,0,0
92,0.220310928171016,0.439492241378092,0.148065988901332,0.104540921238774,0.0875476924672301,4.22278435566936e-05,0,0,0
93,0.168236634836644,0.303791043075962,0.190347998131567,0.296296367308681,0.0413279566471452,0,0,0,0
94,0.262511758680337,0.244016823162256,0.322010424927315,0.156131849340848,0.0153291438892439,0,0,0,0
95,0.195412270261134,0.355577189805703,0.199510368116734,0.231179019226087,0.0183211525903423,0,0,0,0
96,0.0582896361542159,0.319943466439432,0.187610342425783,0.22044412118307,0.0127751741538751,0.188345421787925,0.0125918378556986,0,0
97,0.0877834154175166,0.20607297930909,0.421285195819483,0.283286571499558,0.00157183795435305,0,0,0,0
98,0.257001335401955,0.382858214699022,0.217106255935352,0.124460397236979,0.0185737967266923,0,0,0,0
99,0.138284411109713,0.169617674498301,0.491272793717509,0.195240417410816,0.00558470326366197,0,0,0,0
100,0.222797011079704,0.44692387599764,0.148451824817859,0.115626608179675,0.0662006799251222,0,0,0,0
101,0.120019373944353,0.214543985948741,0.508542491891609,0.152699111566137,0.00419503664915948,0,0,0,0
102,0.23404002181339,0.251989860719668,0.405631580782211,0.106056005111517,0.00228253157321477,0,0,0,0
103,0.00476743054707983,0.0961139530246842,0.24784324668074,0.480994903132745,0.0469958010236255,0.0543165431318724,0.0689681224592535,0,0
104,0.13398373098856,0.225531851501791,0.404561121223552,0.223613302544594,0.0123099937415035,0,0,0,0
105,0.154236535895245,0.353478035913846,0.169358222159999,0.275783639898159,0.0471435661327516,0,0,0,0
106,0.20875968772115,0.593171725957997,0.0893967817625724,0.075301399254987,0.00896370193070043,0.0244067033725935,0,0,0
107,0.23256742142626,0.252903986379839,0.275785298561558,0.224175114347613,0.0145681792847294,0,0,0,0
108,0.18552934498084,0.396444780974002,0.164754002126599,0.200787331811498,0.0524845401070615,0,0,0,0
109,0.161831805887971,0.253105495875851,0.342097540815539,0.237112429322798,0.00585272809784251,0,0,0,0
110,0.24676157610048,0.390894409913492,0.189804932185243,0.149695399708804,0.0228436820919812,0,0,0,0
111,0.250258272745351,0.289029158179512,0.242724293159439,0.193309971559474,0.0246783043562237,0,0,0,0
112,0.142192385361199,0.34681283531775,0.258427197557696,0.220324016414357,0.0322435653489979,0,0,0,0
113,0.219744719419015,0.329733697359532,0.26712121881564,0.170295109245732,0.0131052551600812,0,0,0,0
114,0.24791263373347,0.327777229056989,0.218759345675386,0.199248593781295,0.00630219775286049,0,0,0,0
115,0.0702201618334841,0.282499959031868,0.233448813444437,0.403599883431228,0.00113609111515253,0,0.0090950911438309,0,0
116,0.256944871349516,0.477572624034854,0.204709764992376,0.044943593100934,0.0158291465223199,0,0,0,0
117,0.124201406624058,0.32095537644136,0.207211792329618,0.0664951672948841,0.28113625731008,0,0,0,0
118,0.211649376398617,0.326533166135237,0.228437411510472,0.219275650924883,0.0141043950307913,0,0,0,0
119,0.17430762219086,0.353148848825221,0.159785433757543,0.305205532146777,0.00755256307959905,0,0,0,0
120,0.120717340333857,0.602665423941869,0.117734326394208,0.140228637475766,0.0186542718543008,0,0,0,0
121,0.145419154886502,0.462724906108631,0.160061618282788,0.223954455856833,0.00783986486524631,0,0,0,0
122,0.161326840218,0.292622539273412,0.216818643484695,0.291291413677551,0.00974768402362353,0.0281928793227185,0,0,0
123,0.183619820733223,0.394166487019399,0.163937376094832,0.236282385816692,0.0219939303358536,0,0,0,0
124,0.205555073932213,0.232940558228949,0.389348580657349,0.165942878354424,0.00621290882706446,0,0,0,0
125,0.162428667534335,0.198502445007351,0.41586772836449,0.218399184694628,0.00480197439919626,0,0,0,0
126,0.245776310695221,0.441912160272529,0.156155831241217,0.121922184572146,0.0342335132188875,0,0,0,0
127,0.155045646534819,0.405894732997813,0.221709224570405,0.163194675591299,0.0540036947835815,0,0.000152025522082171,0,0
128,0.235541950291286,0.380109648972455,0.307141969468397,0.0647066127225404,0.0124998185453219,0,0,0,0
129,0.195677333008717,0.222298166536358,0.392941292430501,0.188610195239956,0.000473012784467981,0,0,0,0
130,0.184023471223134,0.308014016294335,0.150558965737239,0.336789615321856,0.0206139314234362,0,0,0,0
131,0.161282221059431,0.206950751840258,0.253888666194147,0.0410092200692595,0.0307517692445072,0.306117371592397,0,0,0
132,0,0.315107459323883,0.336622304644232,0.257728041895877,0.0209057481502837,0,0.0696364459857245,0,0
133,0.19312390607671,0.248278592045803,0.341238323945722,0.212476019114029,0.00488315881773576,0,0,0,0
134,0.206598381316728,0.21413811554025,0.357150253342179,0.21369896408981,0.00841428571103336,0,0,0,0
