,date,time,pss4_instrument
1,8/14/2024,175748,24f4
2,8/15/2024,172254,2465
3,8/16/2024,175723,24ee
4,8/17/2024,170935,24ab
5,8/18/2024,181008,2461
6,8/20/2024,170724,2417
7,8/20/2024,171002,24c8
8,8/20/2024,175941,241c
9,8/21/2024,170842,24b6
10,8/23/2024,171350,24c8
11,8/24/2024,170822,24b2
12,8/27/2024,175526,24f9
13,8/28/2024,172304,2420
14,8/29/2024,175754,24ed
15,8/30/2024,171034,24a8
16,8/31/2024,180020,2516
17,9/1/2024,175600,2.40E+09
18,9/2/2024,175738,24f5
19,9/3/2024,180154,241c
20,9/6/2024,180226,2523
21,9/7/2024,180001,24d7
22,9/8/2024,175713,24bd
23,9/9/2024,170921,2417
24,9/10/2024,170919,24a1
25,9/11/2024,170901,24c3
26,9/12/2024,175617,2.40E+02
27,9/18/2024,180148,24f0
28,9/21/2024,180154,24df
29,9/23/2024,180231,2511
30,9/24/2024,170921,24a8
31,9/24/2024,180021,2.40E+01
32,9/26/2024,175614,24d1
33,9/26/2024,175619,24d5
34,9/27/2024,180054,2518
35,9/28/2024,170643,24a7
36,9/29/2024,175610,24f4
37,9/30/2024,171022,24a8
38,10/1/2024,175653,24f8
39,10/2/2024,180315,24dc
40,10/3/2024,170944,24a8
41,10/3/2024,180115,24fa
42,10/4/2024,180047,24da
43,10/4/2024,180215,2511
44,10/5/2024,175928,24d1
45,10/6/2024,175851,24fb
46,10/7/2024,180714,24d6
47,10/8/2024,180233,2500
48,10/10/2024,180037,2515
49,10/12/2024,171027,24b3
50,10/14/2024,175832,24d1
51,10/15/2024,180554,251b
52,10/16/2024,180047,24f4
53,10/22/2024,180109,24f3
54,10/23/2024,175752,24bd
55,10/25/2024,171236,24c3
56,10/26/2024,180541,250a
57,10/27/2024,171134,24b5
58,10/28/2024,180618,2507
59,11/1/2024,180111,2409
60,11/2/2024,175934,24ee
61,11/5/2024,171440,24c8
62,11/17/2024,180442,24fa
63,11/18/2024,171853,24c3
64,11/19/2024,171451,24cc
65,11/20/2024,171537,24c4
66,11/20/2024,180409,2513
67,11/24/2024,175743,24d7
68,11/25/2024,171918,24c4
69,12/1/2024,180401,251a
70,12/2/2024,172133,24c8
71,12/2/2024,180220,24f6
72,12/3/2024,172026,24af
73,12/4/2024,180417,24dc
74,12/5/2024,171623,24b5
75,12/6/2024,175838,24f6
76,12/6/2024,180044,251a
77,12/10/2024,180320,24f0
78,12/11/2024,180130,2506
79,12/14/2024,180357,2513
80,12/15/2024,180129,24fa
