,date,time,pss4_instrument
1,2/1/2018,173354,104e
2,2/3/2018,173415,0f3c
3,2/5/2018,171031,101b
4,2/6/2018,171102,1014
5,2/7/2018,173314,1049
6,2/8/2018,173345,103f
7,2/11/2018,171121,100c
8,2/13/2018,171149,102e
9,2/14/2018,171207,103d
10,2/15/2018,171010,1032
11,2/16/2018,171138,102f
12,2/17/2018,173217,0f21
13,2/18/2018,173143,0f47
14,2/23/2018,171157,1033
15,2/24/2018,171031,1009
16,2/25/2018,172912,1053
17,2/26/2018,173038,0f2e
18,4/1/2018,171206,101d
19,4/2/2018,171337,0e3a
20,4/4/2018,171152,0f18
21,4/7/2018,172313,0f1a
22,4/8/2018,172337,0f46
23,4/9/2018,172311,1053
24,4/10/2018,172247,0f4a
25,4/11/2018,171220,103c
26,4/12/2018,171241,1014
27,4/12/2018,172234,0f29
28,4/14/2018,171318,0f4e
29,4/15/2018,171403,0f25
30,4/16/2018,171441,0f15
31,4/17/2018,171157,100c
32,4/18/2018,171358,1036
33,4/19/2018,171416,1006
34,4/22/2018,171223,1025
35,4/23/2018,172214,1050
36,4/27/2018,171437,1012
37,4/28/2018,172041,104d
38,4/29/2018,172011,0f29
39,5/1/2018,171157,0.00E+00
40,5/4/2018,171238,1010
41,5/5/2018,171402,1024
42,5/6/2018,171352,1034
43,5/8/2018,171856,1043
44,5/9/2018,171416,1002
45,5/10/2018,171442,1011
46,5/15/2018,171841,104e
47,5/16/2018,171802,0f2b
48,5/21/2018,171820,104a
49,5/22/2018,171732,101c
50,5/23/2018,171719,0f40
51,5/24/2018,171642,0f2a
52,5/26/2018,171817,0f46
53,5/27/2018,171742,1053
54,5/29/2018,171647,104d
55,5/30/2018,171608,0f29
56,6/9/2018,171411,1011
57,6/9/2018,171538,1042
58,6/10/2018,171500,103c
59,6/10/2018,171608,101b
60,6/11/2018,171432,1014
61,6/11/2018,171545,1035
62,6/12/2018,171353,1001
63,6/12/2018,171527,100e
64,6/13/2018,171400,101d
65,6/15/2018,171701,0f15
66,6/20/2018,171505,1010
67,6/21/2018,171504,1005
68,6/25/2018,171356,0.00E+00
69,6/26/2018,171547,1011
70,6/27/2018,171641,103c
71,6/28/2018,171607,1014
72,6/29/2018,171529,1001
73,7/3/2018,171434,100c
74,7/11/2018,171553,1008
75,7/11/2018,171649,1032
76,7/12/2018,171104,0f3c
77,7/13/2018,171629,1011
78,7/14/2018,171725,103c
79,7/16/2018,171615,1001
80,7/17/2018,171617,101d
81,7/21/2018,171400,0.00E+00
82,7/24/2018,171640,1010
83,7/26/2018,171740,1044
84,7/27/2018,170804,1049
85,7/28/2018,171706,1032
86,7/30/2018,171625,1011
87,7/30/2018,171741,1042
88,8/15/2018,171727,1002
89,8/16/2018,171700,1042
90,8/20/2018,171754,1012
91,8/23/2018,171831,101f
92,8/24/2018,172128,100a
93,8/26/2018,171728,0f31
94,8/27/2018,171647,1009
95,8/28/2018,171741,103e
96,8/29/2018,171718,102e
97,8/30/2018,171748,0f28
98,9/15/2018,171827,1006
99,9/16/2018,171911,0f51
100,9/17/2018,171841,1010
101,9/18/2018,171810,1005
102,9/19/2018,170058,1043
103,9/21/2018,171810,1008
104,9/22/2018,171505,0.00E+00
105,9/23/2018,171756,1042
106,9/25/2018,171816,1014
107,9/26/2018,165914,1049
108,9/27/2018,171945,101e
109,10/13/2018,171655,0.00E+00
110,10/15/2018,171929,103d
111,10/16/2018,165612,0f2d
112,10/16/2018,171957,1014
113,10/18/2018,171909,1012
114,10/19/2018,165545,0f49
115,10/20/2018,165717,0f33
116,10/21/2018,171856,0f35
117,10/22/2018,172124,0f4e
118,10/25/2018,171854,1009
119,10/26/2018,171830,103e
120,10/27/2018,165358,0f2d
121,10/28/2018,171942,0f28
122,11/14/2018,171938,0f31
123,11/15/2018,171951,100c
124,11/18/2018,172034,0f51
125,11/19/2018,171638,0e0f
126,11/20/2018,171954,1005
127,11/21/2018,171957,1044
128,11/23/2018,172110,1032
129,11/24/2018,171630,0.00E+00
130,11/25/2018,165115,0f4d
131,11/26/2018,172144,101b
132,11/29/2018,171756,1012
133,12/13/2018,172202,0f51
134,12/14/2018,172131,0f3f
135,12/16/2018,172207,1044
136,12/18/2018,172135,0f22
137,12/19/2018,172141,1002
138,12/20/2018,172228,1038
139,12/21/2018,172231,1018
140,12/23/2018,172030,1001
141,12/24/2018,172038,101e
142,12/25/2018,172253,0f34
143,12/26/2018,172308,0f15
144,12/27/2018,172127,101f
145,12/29/2018,171818,0e3a
146,1/21/2019,172144,101f
147,1/23/2019,164433,0f3c
148,2/11/2019,172352,1002
149,2/12/2019,171927,1012
150,2/12/2019,172451,103d
151,2/15/2019,172016,1029
152,2/16/2019,172256,1012
153,2/20/2019,163653,1020
154,3/7/2019,163319,0f1a
155,3/9/2019,172208,1038
156,3/10/2019,163450,0f44
157,3/17/2019,172328,101e
158,3/19/2019,163611,104b
159,3/20/2019,163117,0f49
160,3/25/2019,172511,103d
161,4/1/2019,172107,1032
162,4/6/2019,171901,0.00E+00
163,4/7/2019,175200,106b
164,4/8/2019,173147,1061
165,4/15/2019,175213,106f
166,4/19/2019,172428,1012
167,4/21/2019,171735,0.00E+00
168,4/23/2019,173551,105d
169,4/27/2019,172729,0f4e
170,4/28/2019,172608,0f25
171,5/11/2019,171525,0e2f
172,5/12/2019,175006,1067
173,5/13/2019,172124,103d
174,5/14/2019,172114,1027
175,5/15/2019,162406,100d
176,5/17/2019,172230,103d
177,5/24/2019,172507,0f12
178,5/25/2019,172202,0f35
179,5/26/2019,172520,101e
180,5/27/2019,162322,1020
181,5/30/2019,172414,100a
182,6/5/2019,172712,0f31
183,6/6/2019,175016,106a
184,6/8/2019,172345,1013
185,6/10/2019,174848,1065
186,6/11/2019,172722,1039
187,6/12/2019,162156,1048
188,6/13/2019,172559,0f17
189,6/14/2019,172415,0f3f
190,6/15/2019,172220,1025
