Processing started at 2025-11-07 09:01:06.519958 
Progress: 30/100 (30.0%) at 2025-11-07 09:01:19.836207
Progress: 60/100 (60.0%) at 2025-11-07 09:01:36.472588
Progress: 20/100 (20.0%) at 2025-11-07 09:01:49.115442
Progress: 90/100 (90.0%) at 2025-11-07 09:01:51.20605
Progress: 50/100 (50.0%) at 2025-11-07 09:01:55.435509
Progress: 10/100 (10.0%) at 2025-11-07 09:02:00.542737
Progress: 80/100 (80.0%) at 2025-11-07 09:02:01.925215
Progress: 40/100 (40.0%) at 2025-11-07 09:02:02.704853
Progress: 70/100 (70.0%) at 2025-11-07 09:02:12.592293
Progress: 100/100 (100.0%) at 2025-11-07 09:02:15.588099
