species,phenology,irrigated_90m,late_winter_temp,impervious_90m,late_winter_prcp_days,late_winter_mean_tmax,late_winter_prcp,tree_canopy_90m,unirrigated_90m,water_90m,late_spring_prcp_days,spring_prcp,late_spring_temp,late_spring_mean_tmax,early_fall_mean_tmax,late_summer_prcp_days,late_summer_mean_tmax,late_summer_temp,late_summer_prcp,early_fall_temp,fall_cumulative_prcp,late_fall_temp,fall_prcp_days,fall_mean_tmax
American Elm,Greenup_doy,0.216,0.182,0.154,0.143,0.103,0.097,0.051,0.05,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Linden,Greenup_doy,0.295,0.069,0.242,0.073,0.026,0.069,0.108,0.085,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Hackberry,Greenup_doy,0.224,0.156,0.148,0.057,0.07,0.057,0.134,0.122,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Cottonwood,Greenup_doy,0.153,0.222,0.154,0.072,0.078,0.015,0.128,0.133,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Ash,Greenup_doy,0.314,0.209,0.215,0.032,0.094,0.032,0.042,0.054,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Locust,Greenup_doy,0.139,0.201,0.148,0.049,0.227,0.085,0.051,0.058,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littleleaf Linden,Greenup_doy,0.251,0.091,0.177,0.063,0.032,0.054,0.157,0.159,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Red Oak,Greenup_doy,0.267,0.073,0.231,0.062,0.035,0.051,0.135,0.123,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plains Cottonwood,Greenup_doy,0.249,0.248,0.105,0.028,0.08,0.023,0.095,0.1,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siberian Elm,Greenup_doy,0.216,0.104,0.114,0.012,0.134,0.165,0.125,0.086,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silver Maple,Greenup_doy,0.197,0.189,0.122,0.021,0.042,0.219,0.109,0.065,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tree of heaven,Greenup_doy,0.251,0.073,0.159,0.019,0.143,0.071,0.109,0.151,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Catalpa,Greenup_doy,0.173,0.129,0.267,0.024,0.062,0.087,0.11,0.126,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Elm,Maturity_doy,0.132,NA,0.114,NA,NA,NA,0.101,0.085,0.011,0.298,0.117,0.112,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Linden,Maturity_doy,0.232,NA,0.192,NA,NA,NA,0.13,0.206,0.009,0.093,0.076,0.052,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Hackberry,Maturity_doy,0.157,NA,0.133,NA,NA,NA,0.1,0.109,0.005,0.278,0.162,0.038,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Cottonwood,Maturity_doy,0.049,NA,0.061,NA,NA,NA,0.063,0.053,0.023,0.575,0.02,0.128,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Ash,Maturity_doy,0.118,NA,0.087,NA,NA,NA,0.072,0.081,0.024,0.374,0.066,0.139,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Locust,Maturity_doy,0.148,NA,0.109,NA,NA,NA,0.091,0.071,0.01,0.297,0.108,0.13,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
